ns1:name,new_geo
parking,"45.428196666724048,-92.645880487512571"
parking,"45.666344019656371,-92.216126194857225"
parking,"45.639771170938239,-92.294485657809716"
parking,"45.612546456729177,-92.303779326334748"
parking,"43.033685818368383,-88.392499462916646"
parking,"43.593804501238196,-88.175908589223141"
parking,"43.308244005344172,-88.322163398696915"
parking,"43.535289336379286,-88.186565540401162"
parking,"43.519791829586758,-88.188008936218409"
parking,"43.4987920449515,-88.192961711770295"
parking,"43.419570739222422,-88.21663408107257"
parking,"43.414860123911147,-88.219304477801913"
parking,"43.444162167959334,-88.214016267454824"
parking,"43.119235811666805,-88.334724468099409"
parking,"43.101019712190848,-88.346581387973231"
parking,"42.804523325643977,-88.652717141378801"
parking,"43.060223391538422,-88.409388579932596"
parking,"42.883281245555771,-88.50418464984358"
parking,"42.89356193153607,-88.493757934063396"
parking,"42.870353363583718,-88.543839505688013"
parking,"42.876665113269858,-88.525749145408582"
parking,"42.781916317052932,-88.691238045718407"
parking,"42.77883717635865,-88.692416115214556"
parking,"43.424596263385162,-89.685848771982236"
parking,"43.428682517307578,-89.727159452981326"
parking,"45.004324232820792,-89.332918767494917"
parking,"45.190093795490853,-88.929880833769516"
parking,"45.340553911316583,-90.040240534702633"
parking,"42.938745827212379,-88.460863487274764"
parking,"43.410811877131444,-89.710802449264094"
parking,"43.976925917228726,-89.500535110370592"
parking,"44.380085231156706,-89.216783173771645"
parking,"44.352722252907135,-89.213952051101558"
parking,"44.301268890493766,-89.242903890088414"
parking,"45.32073085638396,-90.290594673716683"
parking,"45.220623591707216,-91.427308486556313"
parking,"45.223626402175348,-91.413359979157491"
parking,"45.675992443051094,-92.258539303107867"
parking,"45.673062221851488,-92.283816353753366"
parking,"45.639859646864821,-92.118640647745437"
parking,"45.581578258061121,-92.355140239175881"
parking,"43.113778347476114,-89.654915671762993"
parking,"44.98662199013328,-89.357010660232362"
parking,"43.088191596587883,-88.350083272745508"
parking,"43.093200164346904,-88.3434228983065"
parking,"43.111487508189377,-88.342003231837168"
parking,"43.039451642288043,-89.582590267247369"
parking,"43.539309891691055,-89.473880688838165"
parking,"43.537751883482002,-89.47430964343171"
parking,"43.549779575529101,-89.441729558281764"
parking,"43.560488956756465,-89.435430500703333"
parking,"43.385994993008261,-89.643053190235307"
parking,"43.286117374475161,-89.542654574316501"
parking,"45.450474352028785,-90.192310354297035"
parking,"45.405478240747399,-90.166894035652788"
parking,"45.366660943465057,-90.174581279197184"
parking,"45.36247294524356,-90.168670075544881"
parking,"45.332181098249279,-90.453640430936716"
parking,"45.333416565062961,-90.451931394934775"
parking,"44.853628635227366,-87.403847586397134"
parking,"44.855236928320807,-87.404701535622351"
parking,"44.856640455463385,-87.40495090126916"
parking,"44.858186915717539,-87.405461225023302"
parking,"44.863515364790373,-87.412005530521625"
parking,"43.348593807356373,-89.600352449433899"
parking,"43.405715378822542,-89.675657149980736"
parking,"44.280000645246787,-89.249145071729089"
parking,"43.420226071667706,-89.660576060764143"
parking,"44.874451600590881,-87.431911464550367"
parking,"44.830510816972229,-87.38967243625757"
parking,"44.830617124021749,-87.384829577043249"
parking,"44.818045229167176,-87.387661470913059"
parking,"44.801976604046033,-87.380859097848997"
parking,"44.617319747467278,-87.454666279383886"
parking,"44.626134629549419,-87.459912584340913"
parking,"45.323329345446204,-89.801278773916849"
parking,"43.223649894455733,-88.31574965898443"
parking,"43.997029502021491,-89.464531493587216"
parking,"44.900358750472442,-89.383432255812409"
parking,"44.884063950176134,-89.397312857654171"
parking,"43.690561613445915,-89.395373167609208"
parking,"42.940295656403308,-88.46156833504098"
parking,"43.039815909766091,-88.393312385279316"
parking,"44.537324141289069,-89.209302827423656"
parking,"44.569065191242274,-89.253799031719609"
parking,"43.329141418627266,-89.579725319393518"
parking,"43.743217788507245,-88.101574658079372"
parking,"45.305622608397371,-90.43566517237376"
parking,"45.292911746385322,-90.499617212422137"
parking,"43.429033084518586,-89.735404058475652"
parking,"42.732445359878334,-89.006656089949516"
parking,"42.668800415966686,-89.012805465989899"
parking,"45.298966770146095,-89.925996676721113"
